id;author;description;guid;to;likecount;link;pubdate;replycount;title;authorChannelUrl;Intention
1;Deepu Devaki;Hai both.you didn\'t visit south india.there is lot of places pls visit that places.tamilnadu(state)all mistyrios temples locketed there.u nover see that much of temples,and culture,and also visit karnataka,kerala,south india is quite different from north india;UgxxyUKTQEq7gp1Hxqp4AaABAg;;0;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=UgxxyUKTQEq7gp1Hxqp4AaABAg;2020-08-22 16:39:56;0;Hai both.you didn\'t visit south india.there is lot of places pls visit that places.tamilnadu(state)all mistyrios temples locketed there.u nover see that much of temples,and culture,and also visit karnataka,kerala,south india is quite different from north india;http://www.youtube.com/channel/UC5XM1V6khr892zhnQABw1gw;1
2;GoatMafia;Oh man that double sprayer @4:13 ...I hope you wear a mask hahah;UgwQg084YKN6Ws5uuHJ4AaABAg;;0;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=UgwQg084YKN6Ws5uuHJ4AaABAg;2020-08-18 15:00:29;0;Oh man that double sprayer @4:13 ...I hope you wear a mask hahah;http://www.youtube.com/channel/UCwLYR0ckYNaUNn8jGAiiulQ;1
3;Rohan Donode;Stay safe guys........Eagerly waiting for your next new video....but please stay safe God bless you both.... Love from India...;UgzrG5k3RacKg60sOxZ4AaABAg;;0;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=UgzrG5k3RacKg60sOxZ4AaABAg;2020-05-21 10:11:28;0;Stay safe guys........Eagerly waiting for your next new video....but please stay safe God bless you both.... Love from India...;http://www.youtube.com/channel/UCd9zjhWSzVrOTWm0abtDNpQ;1
4;Flower Power;Everyone is home and watching YouTube now, your views gone from some some thousand number to millions of views, gurl you calm down ppl are dying;Ugwiok88jRe4qr3nnpF4AaABAg;;0;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=Ugwiok88jRe4qr3nnpF4AaABAg;2020-05-15 07:59:45;0;Everyone is home and watching YouTube now, your views gone from some some thousand number to millions of views, gurl you calm down ppl are dying;http://www.youtube.com/channel/UCa0wQsn841V2lWevqivFIMQ;1
5;Baqsam;ur arms has a unusual shapes;UgxCj2j1f_bH3D7Sk9l4AaABAg;;0;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=UgxCj2j1f_bH3D7Sk9l4AaABAg;2020-05-09 05:46:33;1;ur arms has a unusual shapes;http://www.youtube.com/channel/UC26mlV7IVJ9iOB8DZ2oOhLw;1
6;Chase for Adventure;Cool beans 🤙🏽;UgxCj2j1f_bH3D7Sk9l4AaABAg.98R6dOSwvoB98TEVbB-luH;Baqsam;0;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=UgxCj2j1f_bH3D7Sk9l4AaABAg.98R6dOSwvoB98TEVbB-luH;2020-05-10 01:33:43;0;Cool beans 🤙🏽;http://www.youtube.com/channel/UCQL1-6vWiXw4iZjMdBZgCSQ;1
7;Chud Gaya Porkistan;Why you left India.......you know India is safest place during this out break !;UgxJIyNpvdwMqJJKbr54AaABAg;;1;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=UgxJIyNpvdwMqJJKbr54AaABAg;2020-05-04 06:38:14;1;Why you left India.......you know India is safest place during this out break !;http://www.youtube.com/channel/UC1IyXWnq3KH8T1Ehmr6b-VA;1
8;Chase for Adventure;We were actually going to come back but we left China two days after the virus was announced and so we couldn\'t come back to India 😭;UgxJIyNpvdwMqJJKbr54AaABAg.98EK_f3l7wm98J42FGfZhF;Chud Gaya Porkistan;0;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=UgxJIyNpvdwMqJJKbr54AaABAg.98EK_f3l7wm98J42FGfZhF;2020-05-06 02:49:56;0;We were actually going to come back but we left China two days after the virus was announced and so we couldn\'t come back to India 😭;http://www.youtube.com/channel/UCQL1-6vWiXw4iZjMdBZgCSQ;1
9;SANTANU DUTTA;Just stumbled upon your videos  subscribed today! And then this one, loved a lot- you are so positive in these dark times! Also Danny/ Annette you\'re such a lovely couple. God bless!;Ugw7sk3kWSv0sP5y-XR4AaABAg;;1;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=Ugw7sk3kWSv0sP5y-XR4AaABAg;2020-04-12 16:29:53;1;Just stumbled upon your videos  subscribed today! And then this one, loved a lot- you are so positive in these dark times! Also Danny/ Annette you\'re such a lovely couple. God bless!;http://www.youtube.com/channel/UCt_w1IGeSxpCi4x8MiqeOPg;1
10;Chase for Adventure;Awww thank you so much Santanu 😁🤙🏽That is so kind of you to say!;Ugw7sk3kWSv0sP5y-XR4AaABAg.97MjngAXgUh97QStyeZC9Z;SANTANU DUTTA;0;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=Ugw7sk3kWSv0sP5y-XR4AaABAg.97MjngAXgUh97QStyeZC9Z;2020-04-14 03:10:24;0;Awww thank you so much Santanu 😁🤙🏽That is so kind of you to say!;http://www.youtube.com/channel/UCQL1-6vWiXw4iZjMdBZgCSQ;1
