id;author;description;guid;to;likecount;link;pubdate;replycount;title;authorChannelUrl;intention
1;Mario Jurik;I love your story and courage to pursue nomad lifestyle. You are also very sweet and authentic Jo! ♥️;UgzY11ynOwrpa4ZtWuN4AaABAg;;3;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgzY11ynOwrpa4ZtWuN4AaABAg;2021-05-10 08:41:39;1;I love your story and courage to pursue nomad lifestyle. You are also very sweet and authentic Jo! ♥️;http://www.youtube.com/channel/UCCgZGu4NqXALsRPL4rDtIyg;0
2;Joanna Yung;Awww thanks!! ❤️❤️❤️;UgzY11ynOwrpa4ZtWuN4AaABAg.9N9qcDujuIS9N9rCQ-HXDb;Mario Jurik;1;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgzY11ynOwrpa4ZtWuN4AaABAg.9N9qcDujuIS9N9rCQ-HXDb;2021-05-10 08:46:44;0;Awww thanks!! ❤️❤️❤️;http://www.youtube.com/channel/UC2TUZnaGIN5F_1mE6HWDHnQ;0
3;Kolin Boorom;How do income taxes work?;Ugz3o4YS-1Vh9av84b94AaABAg;;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=Ugz3o4YS-1Vh9av84b94AaABAg;2021-05-01 21:09:35;0;How do income taxes work?;http://www.youtube.com/channel/UCSazwaF2qLf-zaR1_gW2rsQ;0
4;Sikder Diamond;where are you now?;UgwrNxyJMc8KEMLy5KZ4AaABAg;;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgwrNxyJMc8KEMLy5KZ4AaABAg;2021-04-18 08:23:50;0;where are you now?;http://www.youtube.com/channel/UCpgZ3ZObqlvphwpSXv1uHoA;0
5;Vincent Ng;Well done Joanna !;UgyZ1tPjkx0uhj7Uqbt4AaABAg;;1;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgyZ1tPjkx0uhj7Uqbt4AaABAg;2021-04-07 00:33:27;1;Well done Joanna !;http://www.youtube.com/channel/UCV81mni1hFPcezyT6p-xpgg;0
6;Joanna Yung;Thank you so much Vincent ❤️;UgyZ1tPjkx0uhj7Uqbt4AaABAg.9Lp-WfL82_N9Lp3gPhTPmy;Vincent Ng;1;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgyZ1tPjkx0uhj7Uqbt4AaABAg.9Lp-WfL82_N9Lp3gPhTPmy;2021-04-07 01:09:52;0;Thank you so much Vincent ❤️;http://www.youtube.com/channel/UC2TUZnaGIN5F_1mE6HWDHnQ;0
7;Move with Bri;I love your three tips! Thank you so much 😃❤️🙏🏼;UgyFAHnHh6GWV6ncfBd4AaABAg;;1;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgyFAHnHh6GWV6ncfBd4AaABAg;2021-04-04 23:42:29;1;I love your three tips! Thank you so much 😃❤️🙏🏼;http://www.youtube.com/channel/UCuKSwJVbbyIimwv3ic9slZw;0
8;Joanna Yung;Glad to hear this!! Thanks a lot ❤️❤️❤️;UgyFAHnHh6GWV6ncfBd4AaABAg.9Ljl5ciD66B9LjrlQxQrde;Move with Bri;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgyFAHnHh6GWV6ncfBd4AaABAg.9Ljl5ciD66B9LjrlQxQrde;2021-04-05 00:40:46;0;Glad to hear this!! Thanks a lot ❤️❤️❤️;http://www.youtube.com/channel/UC2TUZnaGIN5F_1mE6HWDHnQ;0
9;Ivy Xu;Transitioning from fast travel to slow travel is definitely one of the first things we learn as digital nomads. It\'s so easy to burn out and get tired! I also love slow traveling because that\'s how we learn more about the places we go from a modern perspective, it\'s people, and the future that the place is trending towards. I enjoy learning about that so much more than the typical tourist sites or even ancient history in museums. Thanks for sharing this video can\'t wait to follow your journey!;UgzvcEiS8byNJhn3WVh4AaABAg;;1;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgzvcEiS8byNJhn3WVh4AaABAg;2021-03-29 16:51:04;1;Transitioning from fast travel to slow travel is definitely one of the first things we learn as digital nomads. It\'s so easy to burn out and get tired! I also love slow traveling because that\'s how we learn more about the places we go from a modern perspective, it\'s people, and the future that the place is trending towards. I enjoy learning about that so much more than the typical tourist sites or even ancient history in museums. Thanks for sharing this video can\'t wait to follow your journey!;http://www.youtube.com/channel/UCPyvJy_Q6gQj8H0XFtXQmDg;0
10;Joanna Yung;Well said and 100% agree with you!! 💕;UgzvcEiS8byNJhn3WVh4AaABAg.9LU_F2D6XLO9LUa6NTn7ac;Ivy Xu;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgzvcEiS8byNJhn3WVh4AaABAg.9LU_F2D6XLO9LUa6NTn7ac;2021-03-29 16:58:37;0;Well said and 100% agree with you!! 💕;http://www.youtube.com/channel/UC2TUZnaGIN5F_1mE6HWDHnQ;0
