id;author;description;guid;to;likecount;link;pubdate;replycount;title;authorChannelUrl;intention
1;Ericka Williams;Thank you for sharing. I wanted to head to Japan in march for cherry blossoms, then Italy in April but both those plans are over.;Ugx09joLh4P8Gy4OeRl4AaABAg;;0;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=Ugx09joLh4P8Gy4OeRl4AaABAg;2020-03-26 01:10:53;1;Thank you for sharing. I wanted to head to Japan in march for cherry blossoms, then Italy in April but both those plans are over.;http://www.youtube.com/channel/UCxaf18Olr8YRgKcTt7mVuJw;0
2;Johnny FD;You\'ll have to save the trip for next year hopefully.;Ugx09joLh4P8Gy4OeRl4AaABAg.96eK6tqrvA096gvQp-KuPC;Ericka Williams;0;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=Ugx09joLh4P8Gy4OeRl4AaABAg.96eK6tqrvA096gvQp-KuPC;2020-03-27 01:24:08;0;You\'ll have to save the trip for next year hopefully.;http://www.youtube.com/channel/UCNB_Oqy28vN6GZxq-ILVzBw;0
3;Chris Kong;Agreed 100%;Ugy9c3x6FsFlc4CxA1x4AaABAg;;1;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=Ugy9c3x6FsFlc4CxA1x4AaABAg;2020-03-25 21:48:39;0;Agreed 100%;http://www.youtube.com/channel/UC4ciExBcE78gJwJB5icUC4A;0
4;Traveler;Great to see you got the hell out of CM to a lower population place. Beware of ATMs not working at your location. Have enough cash should you need it. Thailand ATMS went out for a while so I advised all my people to get cash or but money in the local bank so you have some access. Good luck in this troubled times. Your business should pick up if you are doing sells on line because no body wants to go out.;UgwJBM-i0Nqc1rJ6PPl4AaABAg;;0;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=UgwJBM-i0Nqc1rJ6PPl4AaABAg;2020-03-25 21:43:44;1;Great to see you got the hell out of CM to a lower population place. Beware of ATMs not working at your location. Have enough cash should you need it. Thailand ATMS went out for a while so I advised all my people to get cash or but money in the local bank so you have some access. Good luck in this troubled times. Your business should pick up if you are doing sells on line because no body wants to go out.;http://www.youtube.com/channel/UC4vW3csC0AQDnjhHpRs1SSQ;0
5;Johnny FD;Thanks for the tip. I actually took out cash last week before things got crazy as Sri Lanka is a mostly cash country. On Friday when lockdown happened the ATM imposed a max $20 limit, luckily I had taken out $500 and always keep $300usd on me just in case.;UgwJBM-i0Nqc1rJ6PPl4AaABAg.96dxPjW2I9f96gvc3_946o;Traveler;0;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=UgwJBM-i0Nqc1rJ6PPl4AaABAg.96dxPjW2I9f96gvc3_946o;2020-03-27 01:25:48;0;Thanks for the tip. I actually took out cash last week before things got crazy as Sri Lanka is a mostly cash country. On Friday when lockdown happened the ATM imposed a max $20 limit, luckily I had taken out $500 and always keep $300usd on me just in case.;http://www.youtube.com/channel/UCNB_Oqy28vN6GZxq-ILVzBw;0
6;Thankful Heart;Well said Johnny❗️;UgwPzTSQ_ezWgNqsoxl4AaABAg;;1;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=UgwPzTSQ_ezWgNqsoxl4AaABAg;2020-03-21 10:10:47;0;Well said Johnny❗️;http://www.youtube.com/channel/UCzjgOjPnRQHVrSCAOSsYjwA;0
7;Eternal Summer Rising - Traveling Techies;Getting quarantined worries me more 😀;Ugx89b-e7Lqkl-5snLp4AaABAg;;0;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=Ugx89b-e7Lqkl-5snLp4AaABAg;2020-03-10 21:27:40;1;Getting quarantined worries me more 😀;http://www.youtube.com/channel/UCL46HsDzbDRCx4MllLNrWtg;0
8;Johnny FD;Same here. But that\'s easy to check before you board the flight. Plus, we\'re lucky to have our laptops so we can still work remotely while quarantined. =);Ugx89b-e7Lqkl-5snLp4AaABAg.962Idu8JkSt962faUfCV3p;Eternal Summer Rising - Traveling Techies;0;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=Ugx89b-e7Lqkl-5snLp4AaABAg.962Idu8JkSt962faUfCV3p;2020-03-11 00:56:55;0;Same here. But that\'s easy to check before you board the flight. Plus, we\'re lucky to have our laptops so we can still work remotely while quarantined. =);http://www.youtube.com/channel/UCNB_Oqy28vN6GZxq-ILVzBw;0
9;Damir Zakiri;The virus itself, I have zero worries. It is the people I am worried about. Just heard people are hoarding supermarkets in California. The same happened on a smaller scale here in Georgia a few weeks ago when they announced the first case. My second worry is economics and whether there will be a recession and companies will be cutting back on jobs, etc.;UgzfD2dcXpps0AIwlJd4AaABAg;;0;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=UgzfD2dcXpps0AIwlJd4AaABAg;2020-03-06 02:04:59;1;The virus itself, I have zero worries. It is the people I am worried about. Just heard people are hoarding supermarkets in California. The same happened on a smaller scale here in Georgia a few weeks ago when they announced the first case. My second worry is economics and whether there will be a recession and companies will be cutting back on jobs, etc.;http://www.youtube.com/channel/UCuDMRLvPRiEihKTbk5ca87w;0
10;Johnny FD;It may happen, or it may force companies to allow employees to work remotely which would be a good thing. But if nothing else, the panic shopping is actually good for the economy.;UgzfD2dcXpps0AIwlJd4AaABAg.95r1H4fuUs095z31qcDstj;Damir Zakiri;1;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=UgzfD2dcXpps0AIwlJd4AaABAg.95r1H4fuUs095z31qcDstj;2020-03-09 05:54:18;0;It may happen, or it may force companies to allow employees to work remotely which would be a good thing. But if nothing else, the panic shopping is actually good for the economy.;http://www.youtube.com/channel/UCNB_Oqy28vN6GZxq-ILVzBw;0
