id;author;description;guid;to;likecount;link;pubdate;replycount;title;authorChannelUrl;intention
1;Running Remote;Have questions? I\'m here to help.;UgxFfA0IfI-O1YMjQ1h4AaABAg;;0;https://www.youtube.com/watch?v=ZiZlvR9AAEk&lc=UgxFfA0IfI-O1YMjQ1h4AaABAg;2020-03-17 15:56:52;0;Have questions? I\'m here to help.;http://www.youtube.com/channel/UCpOiPAD4gNK0PifmtTOv6sQ;1
2;Girl Not Local;yeah but a lot of digital nomad are in situations like myself who dont actually have a home period. i dont have family to go back to, and i havent lived in my birthed country for years so i wouldnt even know where the heck to go, im in a situation where japan kicking me out regardless that there are no flights that are not like 42hr long and most country will mandatory quarantine you and test or need covid insurance, so now im completely fucked and dying for countrys to start opening up for tourism for my wellbeing. thank the world for immigration in a time like this, its BS.;Ugxq_1dXyS-QLJycJJ54AaABAg;;0;https://www.youtube.com/watch?v=ZiZlvR9AAEk&lc=Ugxq_1dXyS-QLJycJJ54AaABAg;2020-08-24 02:49:03;1;yeah but a lot of digital nomad are in situations like myself who dont actually have a home period. i dont have family to go back to, and i havent lived in my birthed country for years so i wouldnt even know where the heck to go, im in a situation where japan kicking me out regardless that there are no flights that are not like 42hr long and most country will mandatory quarantine you and test or need covid insurance, so now im completely fucked and dying for countrys to start opening up for tourism for my wellbeing. thank the world for immigration in a time like this, its BS.;http://www.youtube.com/channel/UCWRJZ5H4uowgn4-290qQ4Mw;1
3;Running Remote;Generally your home country \'must\' take you so I\'d see what else you can do to get back there. It\'s not as bad as it was but anything we can do to stop deaths from happening I\'m all behind.;Ugxq_1dXyS-QLJycJJ54AaABAg.9CjJO0WgOfJ9CkAZJiqReg;Girl Not Local;0;https://www.youtube.com/watch?v=ZiZlvR9AAEk&lc=Ugxq_1dXyS-QLJycJJ54AaABAg.9CjJO0WgOfJ9CkAZJiqReg;2020-08-24 10:51:11;0;Generally your home country \'must\' take you so I\'d see what else you can do to get back there. It\'s not as bad as it was but anything we can do to stop deaths from happening I\'m all behind.;http://www.youtube.com/channel/UCpOiPAD4gNK0PifmtTOv6sQ;1
4;Th3Vampir3Knight;If you\'re in a foreign country, wouldn\'t it be best just to stay in your house there and not even bother going to the airport where you could spread the virus on your way back home?;UgzwCiLmrUvLPtsPexV4AaABAg;;1;https://www.youtube.com/watch?v=ZiZlvR9AAEk&lc=UgzwCiLmrUvLPtsPexV4AaABAg;2020-05-05 16:09:46;1;If you\'re in a foreign country, wouldn\'t it be best just to stay in your house there and not even bother going to the airport where you could spread the virus on your way back home?;http://www.youtube.com/channel/UCsgN4wqLlYFDcZ7NEe7aiPQ;1
5;Running Remote;Yep!;UgzwCiLmrUvLPtsPexV4AaABAg.98Hvm_pPzMi98JrA70r6Al;Th3Vampir3Knight;0;https://www.youtube.com/watch?v=ZiZlvR9AAEk&lc=UgzwCiLmrUvLPtsPexV4AaABAg.98Hvm_pPzMi98JrA70r6Al;2020-05-06 10:07:55;0;Yep!;http://www.youtube.com/channel/UCpOiPAD4gNK0PifmtTOv6sQ;1
6;Minjeong Jeong;We all should be part of solution I agree on that! Thank you for pointing out social responsibility in a clear way;UgyEc18D_NK15Xkenmh4AaABAg;;2;https://www.youtube.com/watch?v=ZiZlvR9AAEk&lc=UgyEc18D_NK15Xkenmh4AaABAg;2020-05-03 03:39:38;1;We all should be part of solution I agree on that! Thank you for pointing out social responsibility in a clear way;http://www.youtube.com/channel/UC1ZAqcJ-e6qrgVgma1lhV-g;1
7;Running Remote;Thanks for the kind words!;UgyEc18D_NK15Xkenmh4AaABAg.98BRLe00iaU98D5Wjiw3pp;Minjeong Jeong;0;https://www.youtube.com/watch?v=ZiZlvR9AAEk&lc=UgyEc18D_NK15Xkenmh4AaABAg.98BRLe00iaU98D5Wjiw3pp;2020-05-03 19:07:23;0;Thanks for the kind words!;http://www.youtube.com/channel/UCpOiPAD4gNK0PifmtTOv6sQ;1
8;David Carnes;"I am overseas now. If I try to return home I gotta go through at least 6 airports, plus about 18 hours on a plane sitting next to other people. Plus I maintain no residence back home; I\'d have to live with my 78-year old mother who has diabetes. If I got it and gave it to her she\'d probably die. So I\'m staying put for now. But what if my visa expires?";UgwSK4tl3G1H2MFjyQx4AaABAg;;0;https://www.youtube.com/watch?v=ZiZlvR9AAEk&lc=UgwSK4tl3G1H2MFjyQx4AaABAg;2020-04-11 04:52:48;2;"I am overseas now. If I try to return home I gotta go through at least 6 airports, plus about 18 hours on a plane sitting next to other people. Plus I maintain no residence back home; I\'d have to live with my 78-year old mother who has diabetes. If I got it and gave it to her she\'d probably die. So I\'m staying put for now. But what if my visa expires?";http://www.youtube.com/channel/UCWBrZRCoQGEX2WkxYg71PtQ;1
9;Running Remote;Hey David. I highly suggest you not fly anymore. I\'d bet there are emergency Visa requests you can get. Biggest thing to do is to stay away from other people.;UgwSK4tl3G1H2MFjyQx4AaABAg.97IvEDDkvXU97JXlEtLtUa;David Carnes;0;https://www.youtube.com/watch?v=ZiZlvR9AAEk&lc=UgwSK4tl3G1H2MFjyQx4AaABAg.97IvEDDkvXU97JXlEtLtUa;2020-04-11 10:38:13;0;Hey David. I highly suggest you not fly anymore. I\'d bet there are emergency Visa requests you can get. Biggest thing to do is to stay away from other people.;http://www.youtube.com/channel/UCpOiPAD4gNK0PifmtTOv6sQ;1
10;David Carnes;"Plus all other countries; borders are closed.";UgwSK4tl3G1H2MFjyQx4AaABAg.97IvEDDkvXU97IvI7WTTYr;David Carnes;0;https://www.youtube.com/watch?v=ZiZlvR9AAEk&lc=UgwSK4tl3G1H2MFjyQx4AaABAg.97IvEDDkvXU97IvI7WTTYr;2020-04-11 04:53:19;0;"Plus all other countries; borders are closed.";http://www.youtube.com/channel/UCWBrZRCoQGEX2WkxYg71PtQ;1
