id;author;description;guid;to;likecount;link;pubdate;replycount;title;authorChannelUrl;intention
1;Sergio Sala;It was fun to chat with all these nomads! Hope you are doing fine wherever you are. Stay strong, stay safe!;Ugw2sMfBz0tp9iOttGl4AaABAg;;1;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=Ugw2sMfBz0tp9iOttGl4AaABAg;2020-05-14 13:47:26;1;It was fun to chat with all these nomads! Hope you are doing fine wherever you are. Stay strong, stay safe!;http://www.youtube.com/channel/UCX-bzvPDW2KlGUK4Z-bdxeA;0
2;Tomas Laurinavicius;Cheers brother!;Ugw2sMfBz0tp9iOttGl4AaABAg.98dqdrioBk698fBLxYzv5v;Sergio Sala;1;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=Ugw2sMfBz0tp9iOttGl4AaABAg.98dqdrioBk698fBLxYzv5v;2020-05-15 02:16:19;0;Cheers brother!;http://www.youtube.com/channel/UCPhXlV1fccvIy5jQpLLRh3A;0
3;Nader Nadernejad;Wow! Seeing some familiar faces. The digital nomad community is so small, and it’s cool to see everyone out there. I did the journey for about 6 months in 2019, came back at the beginning of COVID and now I’m itching to travel again.;UgyqxU80WKU8O6Y_FNB4AaABAg;;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=UgyqxU80WKU8O6Y_FNB4AaABAg;2021-02-17 05:25:42;0;Wow! Seeing some familiar faces. The digital nomad community is so small, and it’s cool to see everyone out there. I did the journey for about 6 months in 2019, came back at the beginning of COVID and now I’m itching to travel again.;http://www.youtube.com/channel/UCCETneAi7ILYy5N6jqA48WQ;0
4;Juliette Fiszka;This is a good video! I\'m surprised it doesn\'t get more views. Great editing as well :);UgzGLoJp2fpTguiAcnN4AaABAg;;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=UgzGLoJp2fpTguiAcnN4AaABAg;2020-08-22 09:07:10;0;This is a good video! I\'m surprised it doesn\'t get more views. Great editing as well :);http://www.youtube.com/channel/UC7y4lyugUAVAz9tO7puLoTQ;0
5;Silent Lessons;am a digital nomad but fortunately for me the rona struck when i was at home;Ugxp8VzPxxI1gf4UXtt4AaABAg;;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=Ugxp8VzPxxI1gf4UXtt4AaABAg;2020-08-05 07:21:45;1;am a digital nomad but fortunately for me the rona struck when i was at home;http://www.youtube.com/channel/UCU3VoZNn88qSkylzKqnmIww;0
6;Sergio Sala;Yup, a lot of us are;Ugxp8VzPxxI1gf4UXtt4AaABAg.9BysUlZo18E9C6CuyI34tm;Silent Lessons;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=Ugxp8VzPxxI1gf4UXtt4AaABAg.9BysUlZo18E9C6CuyI34tm;2020-08-08 13:02:54;0;Yup, a lot of us are;http://www.youtube.com/channel/UCX-bzvPDW2KlGUK4Z-bdxeA;0
7;exploreaswego;Thanks for sharing this! We are DN in Bali now, and most of everything mentioned in the video is exactly what we are going through right now. Another issue that is mentioning for short term DN like us, Visa is a major problem too during this pandemic. For 4 months, the Indonesian government was nice enough to grant us emergency stay permits, but just last week, they announced that we had to GTFO in 30 days, regardless of the situation happening at our home in the US, and the risk of flying when flights are constantly cancelled and having to go through multiple layovers in order to get home.;Ugw1HV3gMTQhOGr3-v54AaABAg;;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=Ugw1HV3gMTQhOGr3-v54AaABAg;2020-07-14 23:12:38;1;Thanks for sharing this! We are DN in Bali now, and most of everything mentioned in the video is exactly what we are going through right now. Another issue that is mentioning for short term DN like us, Visa is a major problem too during this pandemic. For 4 months, the Indonesian government was nice enough to grant us emergency stay permits, but just last week, they announced that we had to GTFO in 30 days, regardless of the situation happening at our home in the US, and the risk of flying when flights are constantly cancelled and having to go through multiple layovers in order to get home.;http://www.youtube.com/channel/UCo3y8vsCY5VwUNYHbxRmosA;0
8;Sergio Sala;I saw the news, damn.. hopefully it works out. the world’s crazy these days;Ugw1HV3gMTQhOGr3-v54AaABAg.9B6vozgYNEE9BAgKWx_04C;exploreaswego;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=Ugw1HV3gMTQhOGr3-v54AaABAg.9B6vozgYNEE9BAgKWx_04C;2020-07-16 10:14:14;0;I saw the news, damn.. hopefully it works out. the world’s crazy these days;http://www.youtube.com/channel/UCX-bzvPDW2KlGUK4Z-bdxeA;0
9;Life in Glow Wellness;it was interesting to watch, only I wish you\'ve put a caption to the guys\' videos which country they are talking about.;Ugx_mfrbr4r0-HaP-094AaABAg;;1;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=Ugx_mfrbr4r0-HaP-094AaABAg;2020-05-19 19:23:14;1;it was interesting to watch, only I wish you\'ve put a caption to the guys\' videos which country they are talking about.;http://www.youtube.com/channel/UCnrvrUrUSmqBsPwfHCCoocw;0
10;Sergio Sala;It\'s true.. sorry, next time;Ugx_mfrbr4r0-HaP-094AaABAg.98rK2ojtPwq9A64PMh7Rdr;Life in Glow Wellness;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=Ugx_mfrbr4r0-HaP-094AaABAg.98rK2ojtPwq9A64PMh7Rdr;2020-06-19 18:45:45;0;It\'s true.. sorry, next time;http://www.youtube.com/channel/UCX-bzvPDW2KlGUK4Z-bdxeA;0
11;Julian Goldie SEO;Nice video Sergio! I feel grateful to be in Taiwan, amazing how they\'ve handled the whole situation.;Ugz1MWFpJscDI6ocZ1Z4AaABAg;;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=Ugz1MWFpJscDI6ocZ1Z4AaABAg;2020-05-16 02:58:28;1;Nice video Sergio! I feel grateful to be in Taiwan, amazing how they\'ve handled the whole situation.;http://www.youtube.com/channel/UCGpsgNbzdF7BECCVbB1COHw;0
12;Sergio Sala;Jealous! but enjoy Taiwan bro;Ugz1MWFpJscDI6ocZ1Z4AaABAg.98hpyUhDbNt9A64O4oMGju;Julian Goldie SEO;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=Ugz1MWFpJscDI6ocZ1Z4AaABAg.98hpyUhDbNt9A64O4oMGju;2020-06-19 18:45:34;0;Jealous! but enjoy Taiwan bro;http://www.youtube.com/channel/UCX-bzvPDW2KlGUK4Z-bdxeA;0
13;Maridoug Cividanes;Just great!! Thanks a lot;UgzGRQ3j3XeorjtY_BB4AaABAg;;1;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=UgzGRQ3j3XeorjtY_BB4AaABAg;2020-05-15 14:56:02;1;Just great!! Thanks a lot;http://www.youtube.com/channel/UCAoqHtJB3zJdkp9KWGMrLFA;0
14;Sergio Sala;You are welcome!;UgzGRQ3j3XeorjtY_BB4AaABAg.98gYIH4AD-e9A64MX2Kqm0;Maridoug Cividanes;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=UgzGRQ3j3XeorjtY_BB4AaABAg.98gYIH4AD-e9A64MX2Kqm0;2020-06-19 18:45:22;0;You are welcome!;http://www.youtube.com/channel/UCX-bzvPDW2KlGUK4Z-bdxeA;0
15;Patrick Farrell;Well done man!;UgxSfMKGTmRw435xbbV4AaABAg;;1;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=UgxSfMKGTmRw435xbbV4AaABAg;2020-05-15 09:41:46;1;Well done man!;http://www.youtube.com/channel/UCDa6YCDf3l34uBsjfpI-N_Q;0
16;Sergio Sala;thanks Patrick!;UgxSfMKGTmRw435xbbV4AaABAg.98fzKSz98qw9A64LrJHLL5;Patrick Farrell;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=UgxSfMKGTmRw435xbbV4AaABAg.98fzKSz98qw9A64LrJHLL5;2020-06-19 18:45:16;0;thanks Patrick!;http://www.youtube.com/channel/UCX-bzvPDW2KlGUK4Z-bdxeA;0
17;Chris the Freelancer;Thanks Sergio. Shame that 2020 is cancelled. Will never take world travel for granted again after this!;UgxxejtzRUAYsEY1jkt4AaABAg;;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=UgxxejtzRUAYsEY1jkt4AaABAg;2020-05-15 06:08:14;1;Thanks Sergio. Shame that 2020 is cancelled. Will never take world travel for granted again after this!;http://www.youtube.com/channel/UCbxtV_oVIXBtLRmyPfcLKVg;0
18;Sergio Sala;Quite true those last words, let\'s truly be thankful that we can travel (i mean once we can again!);UgxxejtzRUAYsEY1jkt4AaABAg.98fatX6G_C498ffE1apVkx;Chris the Freelancer;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=UgxxejtzRUAYsEY1jkt4AaABAg.98fatX6G_C498ffE1apVkx;2020-05-15 06:46:07;0;Quite true those last words, let\'s truly be thankful that we can travel (i mean once we can again!);http://www.youtube.com/channel/UCX-bzvPDW2KlGUK4Z-bdxeA;0
19;Tomas Laurinavicius;Good stuff! Thank you for having me and stay safe everyone!;UgydNIMK_f2sD1Ru9Zt4AaABAg;;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=UgydNIMK_f2sD1Ru9Zt4AaABAg;2020-05-15 02:16:06;1;Good stuff! Thank you for having me and stay safe everyone!;http://www.youtube.com/channel/UCPhXlV1fccvIy5jQpLLRh3A;0
20;Sergio Sala;thanks for your time, Tomas!;UgydNIMK_f2sD1Ru9Zt4AaABAg.98fBKFzvFrd98ff7V8o_hK;Tomas Laurinavicius;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=UgydNIMK_f2sD1Ru9Zt4AaABAg.98fBKFzvFrd98ff7V8o_hK;2020-05-15 06:45:14;0;thanks for your time, Tomas!;http://www.youtube.com/channel/UCX-bzvPDW2KlGUK4Z-bdxeA;0
21;Johnny FD;It was fun being part of the COVID 19 stories Sergio. I\'m still here in Sri Lanka and am still 100% happy that I stayed here and didn\'t panic fly back to the US or anywhere else. Here\'s what my first 60 days under stay at home looked like here in Sri Lanka and what my daily routine was like. I\'ve since moved into a co-living space that I have another video about: https://www.youtube.com/watch?v=anDTCiBWQxg;UgxT79Hn4zBcPQjyMgN4AaABAg;;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=UgxT79Hn4zBcPQjyMgN4AaABAg;2020-05-14 23:58:20;1;It was fun being part of the COVID 19 stories Sergio. I\'m still here in Sri Lanka and am still 100% happy that I stayed here and didn\'t panic fly back to the US or anywhere else. Here\'s what my first 60 days under stay at home looked like here in Sri Lanka and what my daily routine was like. I\'ve since moved into a co-living space that I have another video about: https://www.youtube.com/watch?v=anDTCiBWQxg;http://www.youtube.com/channel/UCNB_Oqy28vN6GZxq-ILVzBw;0
22;Sergio Sala;Lucky you! haha thanks for your time Johhny!;UgxT79Hn4zBcPQjyMgN4AaABAg.98ewZEBKhOb98ffA4lIhoM;Johnny FD;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=UgxT79Hn4zBcPQjyMgN4AaABAg.98ewZEBKhOb98ffA4lIhoM;2020-05-15 06:45:35;0;Lucky you! haha thanks for your time Johhny!;http://www.youtube.com/channel/UCX-bzvPDW2KlGUK4Z-bdxeA;0
23;Miguel Valencia;Very Nice! Blessings to everybody... 🙏🏾;Ugz6Y-aJVV7e5pTY9Ft4AaABAg;;1;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=Ugz6Y-aJVV7e5pTY9Ft4AaABAg;2020-05-14 21:42:29;1;Very Nice! Blessings to everybody... 🙏🏾;http://www.youtube.com/channel/UCxlEcLZ7uNvZ0sDSZHS4p-Q;0
24;Sergio Sala;Same to you!;Ugz6Y-aJVV7e5pTY9Ft4AaABAg.98eh0J4oDiB9A64LE6LeV9;Miguel Valencia;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=Ugz6Y-aJVV7e5pTY9Ft4AaABAg.98eh0J4oDiB9A64LE6LeV9;2020-06-19 18:45:11;0;Same to you!;http://www.youtube.com/channel/UCX-bzvPDW2KlGUK4Z-bdxeA;0
25;Grateful Gypsies;Great catching up with you Sergio! Let\'s have an in person (socially distant, of course) meet up when we get to Detroit next month!;UgzhsxQIe87PpGJHYOh4AaABAg;;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=UgzhsxQIe87PpGJHYOh4AaABAg;2020-05-14 17:32:39;1;Great catching up with you Sergio! Let\'s have an in person (socially distant, of course) meet up when we get to Detroit next month!;http://www.youtube.com/channel/UCn5T0r4o5KV4qoyQyR7Buww;0
26;Sergio Sala;That would be cool!;UgzhsxQIe87PpGJHYOh4AaABAg.98eFQOuoAAX98eVkl6_JaI;Grateful Gypsies;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=UgzhsxQIe87PpGJHYOh4AaABAg.98eFQOuoAAX98eVkl6_JaI;2020-05-14 19:55:22;0;That would be cool!;http://www.youtube.com/channel/UCX-bzvPDW2KlGUK4Z-bdxeA;0
27;Silvia Arrambide;More videos like this one pleeeeeaseeee🙌🏻❤️;UgxbsT-IEQeLtWO5byd4AaABAg;;1;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=UgxbsT-IEQeLtWO5byd4AaABAg;2020-05-14 16:03:58;0;More videos like this one pleeeeeaseeee🙌🏻❤️;http://www.youtube.com/channel/UChGfIapPsmyu8uP_Yzw8k9Q;0
28;Silvia Arrambide;Awesome! I just love this video ❤️;UgyqwOLLyYwyaSk09jh4AaABAg;;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=UgyqwOLLyYwyaSk09jh4AaABAg;2020-05-14 16:02:49;1;Awesome! I just love this video ❤️;http://www.youtube.com/channel/UChGfIapPsmyu8uP_Yzw8k9Q;0
29;Sergio Sala;aw thanks!;UgyqwOLLyYwyaSk09jh4AaABAg.98e58Wy6rUR98ff8WleiX7;Silvia Arrambide;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=UgyqwOLLyYwyaSk09jh4AaABAg.98e58Wy6rUR98ff8WleiX7;2020-05-15 06:45:22;0;aw thanks!;http://www.youtube.com/channel/UCX-bzvPDW2KlGUK4Z-bdxeA;0
30;Jordan Carroll - The Remote Job Coach;Dope man! Many familiar faces!!;Ugx5zvwaXYtHve5nppV4AaABAg;;2;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=Ugx5zvwaXYtHve5nppV4AaABAg;2020-05-14 11:35:18;2;Dope man! Many familiar faces!!;http://www.youtube.com/channel/UCORh-_he8Vs6yGp3AnRQB5w;0
31;Grateful Gypsies;Hi Jordo!;Ugx5zvwaXYtHve5nppV4AaABAg.98dbXASy2IW98eFLyHG0CC;Jordan Carroll - The Remote Job Coach;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=Ugx5zvwaXYtHve5nppV4AaABAg.98dbXASy2IW98eFLyHG0CC;2020-05-14 17:32:02;0;Hi Jordo!;http://www.youtube.com/channel/UCn5T0r4o5KV4qoyQyR7Buww;0
32;Sergio Sala;Jordan Carroll thanks bro!;Ugx5zvwaXYtHve5nppV4AaABAg.98dbXASy2IW98dbynbBg1N;Jordan Carroll - The Remote Job Coach;0;https://www.youtube.com/watch?v=YzQA-Z2dJVg&lc=Ugx5zvwaXYtHve5nppV4AaABAg.98dbXASy2IW98dbynbBg1N;2020-05-14 11:39:13;0;Jordan Carroll thanks bro!;http://www.youtube.com/channel/UCX-bzvPDW2KlGUK4Z-bdxeA;0
