id;author;description;guid;to;likecount;link;pubdate;replycount;title;authorChannelUrl;intention
1;Nader Nadernejad;Thanks for the update! Checking out your other videos now. Is it possible to fly into Georgi, Tbilisi right now?;Ugx_gjnji70KZ_orxPJ4AaABAg;;0;https://www.youtube.com/watch?v=wVjahErL7j8&lc=Ugx_gjnji70KZ_orxPJ4AaABAg;2021-02-18 05:02:27;0;Thanks for the update! Checking out your other videos now. Is it possible to fly into Georgi, Tbilisi right now?;http://www.youtube.com/channel/UCCETneAi7ILYy5N6jqA48WQ;0
2;Money Snacks IMG;Try the Philippines!;UgxDtDge2IN-r3GZ6Vp4AaABAg;;1;https://www.youtube.com/watch?v=wVjahErL7j8&lc=UgxDtDge2IN-r3GZ6Vp4AaABAg;2020-11-29 22:03:12;0;Try the Philippines!;http://www.youtube.com/channel/UCOgNhTVWNPJeBGCmrSw5RbQ;0
3;Nacho Libre;Big Ups !! Travel light,Live Life and Prosper all in one. Great Approach but do it before u are eventually constrained by health,marriage and kids !!;UgxjpWe2v_0wxeybWxh4AaABAg;;0;https://www.youtube.com/watch?v=wVjahErL7j8&lc=UgxjpWe2v_0wxeybWxh4AaABAg;2020-10-16 16:37:19;1;Big Ups !! Travel light,Live Life and Prosper all in one. Great Approach but do it before u are eventually constrained by health,marriage and kids !!;http://www.youtube.com/channel/UC2HsmJuoHyMCNf4jSkeZ5jg;0
4;Support Adventure;So true! Thanks Nacho;UgxjpWe2v_0wxeybWxh4AaABAg.9EtGIpfuVyi9F93C_AFa8H;Nacho Libre;0;https://www.youtube.com/watch?v=wVjahErL7j8&lc=UgxjpWe2v_0wxeybWxh4AaABAg.9EtGIpfuVyi9F93C_AFa8H;2020-10-23 05:09:57;0;So true! Thanks Nacho;http://www.youtube.com/channel/UCBwWZcG0VlWt-dnVDcWRzjQ;0
5;Wayne S;Trying to listen to the conversation but I am see is the guy on the left keep cutting off the guy on the right.;UgzgVIRU_jrWXk9OXel4AaABAg;;0;https://www.youtube.com/watch?v=wVjahErL7j8&lc=UgzgVIRU_jrWXk9OXel4AaABAg;2020-08-13 20:33:17;0;Trying to listen to the conversation but I am see is the guy on the left keep cutting off the guy on the right.;http://www.youtube.com/channel/UCdyhxQDtH9MqREVs24CaLRQ;0
6;На Досуге в Канаде - Anvar CANADA;There is one more niche where people can make money online - it is called Crowdtesting. Basically, it is about testing software for money online. No programming knowledge is required. You can find more information here: https://www.youtube.com/watch?v=0xlHItOw-TU;UgyBhdTvesETHCccR9Z4AaABAg;;0;https://www.youtube.com/watch?v=wVjahErL7j8&lc=UgyBhdTvesETHCccR9Z4AaABAg;2020-07-29 17:58:30;0;There is one more niche where people can make money online - it is called Crowdtesting. Basically, it is about testing software for money online. No programming knowledge is required. You can find more information here: https://www.youtube.com/watch?v=0xlHItOw-TU;http://www.youtube.com/channel/UC1-FBCu6hbmZHc-DOaVdYLA;0
7;the business mission;Great video! Very informative. One point it\'s coming slightly on the serious side. Support Adventure is a fun business to work at! Remember to smile!;Ugw9SX6xAgkVCUlSXXZ4AaABAg;;0;https://www.youtube.com/watch?v=wVjahErL7j8&lc=Ugw9SX6xAgkVCUlSXXZ4AaABAg;2020-07-21 15:39:00;1;Great video! Very informative. One point it\'s coming slightly on the serious side. Support Adventure is a fun business to work at! Remember to smile!;http://www.youtube.com/channel/UCmnM7Bb9ee_9ykZbiJESbyw;0
8;Support Adventure;Absolutely! :) Thank you for sharing.;Ugw9SX6xAgkVCUlSXXZ4AaABAg.9BO8TX6EIFi9BRf4QYogOY;the business mission;0;https://www.youtube.com/watch?v=wVjahErL7j8&lc=Ugw9SX6xAgkVCUlSXXZ4AaABAg.9BO8TX6EIFi9BRf4QYogOY;2020-07-23 00:30:23;0;Absolutely! :) Thank you for sharing.;http://www.youtube.com/channel/UCBwWZcG0VlWt-dnVDcWRzjQ;0
9;Marawan Mansour;Thanks for the info , but you remind me of my gf , she never let me finish a sentence , she won the championship in interrupting my conversations;UgwZZ610gr-wJ0Sf7eh4AaABAg;;1;https://www.youtube.com/watch?v=wVjahErL7j8&lc=UgwZZ610gr-wJ0Sf7eh4AaABAg;2020-06-23 13:51:08;0;Thanks for the info , but you remind me of my gf , she never let me finish a sentence , she won the championship in interrupting my conversations;http://www.youtube.com/channel/UC8jrzCRxNsfAQrmHtJs4Sxw;0
10;Hannah Kells;oh man you need to learn to stop interrupting its so annoying;Ugw5Dksw8JU6jITLsrt4AaABAg;;2;https://www.youtube.com/watch?v=wVjahErL7j8&lc=Ugw5Dksw8JU6jITLsrt4AaABAg;2020-06-16 08:15:22;0;oh man you need to learn to stop interrupting its so annoying;http://www.youtube.com/channel/UCBAX9V8Rufh8SDT-XjlJzQA;0
