id;author;description;guid;to;likecount;link;pubdate;replycount;title;authorChannelUrl;intention
1;The Single Dad Nomad;What\'s your plans for the covid-19 pandemic?;UgwcelhSmdvfumxjD4d4AaABAg;;0;https://www.youtube.com/watch?v=g43A1DAvo_g&lc=UgwcelhSmdvfumxjD4d4AaABAg;2020-03-19 18:44:38;0;What\'s your plans for the covid-19 pandemic?;http://www.youtube.com/channel/UC_oic9r1g6jWP4Wh3KmRiDA;0
2;natural healing for all;I honestly feel you should stop your nomad lifestyle for now, if you\'re traveling on public transport, there are numerous ways you can covid. I have stopped traveling abroad for now, I hope to resume next year if a vaccine comes up. If not I will just travel within my country, that\'s still living a nomad lifestyle.;UgzkW8CASYthy6CIvMB4AaABAg;;0;https://www.youtube.com/watch?v=g43A1DAvo_g&lc=UgzkW8CASYthy6CIvMB4AaABAg;2020-06-18 01:22:01;3;I honestly feel you should stop your nomad lifestyle for now, if you\'re traveling on public transport, there are numerous ways you can covid. I have stopped traveling abroad for now, I hope to resume next year if a vaccine comes up. If not I will just travel within my country, that\'s still living a nomad lifestyle.;http://www.youtube.com/channel/UCQubo9j1hc4SiOvFwbkHaRw;0
3;The Single Dad Nomad;@natural healing for all sounds like you\'ve put some good thought into it. I imagine the world will open back up by then, since the economies can\'t handle it, and people will ultimately have to make their own choices when or if to travel and how to do so comfortably and safely. I sure hope a vaccine is developed ASAP, I know I don\'t want to stay in Michigan during the winter.;UgzkW8CASYthy6CIvMB4AaABAg.9A1d9uZlKWr9A2rG13LnoX;natural healing for all;0;https://www.youtube.com/watch?v=g43A1DAvo_g&lc=UgzkW8CASYthy6CIvMB4AaABAg.9A1d9uZlKWr9A2rG13LnoX;2020-06-18 12:44:25;0;@natural healing for all sounds like you\'ve put some good thought into it. I imagine the world will open back up by then, since the economies can\'t handle it, and people will ultimately have to make their own choices when or if to travel and how to do so comfortably and safely. I sure hope a vaccine is developed ASAP, I know I don\'t want to stay in Michigan during the winter.;http://www.youtube.com/channel/UC_oic9r1g6jWP4Wh3KmRiDA;0
4;natural healing for all;I\'ve also lived in places with contagious diseases without travel insurance even without vaccinations. I was younger and healthier when I did that, I wouldn\'t do that now. These are unique times, this disease unlike any other has closed the world down. Part of the reason why in my opinion it\'s not a good idea to travel, if I get stuck the British Embassy is not going to help me. 1) Because they are rubbish 2) Because the foreign office is advising against all essential travel. I\'m not counting on a vaccine BUT the best scientific minds are working on it worldwide, all governments are backing them, so there is every chance they can succeed. RV or a motorcycle is a very good idea, I\'m willing to wait until next year, but that time more places should open up. If a vaccine isn\'t available, I will go ahead and live my nomad life with caution. I\'ll travel with in the country and other places in Europe. RV or a motorcycle is not a possibility so I\'ll cycle and take public transport sometimes wearing a mask and do a lot of camping.;UgzkW8CASYthy6CIvMB4AaABAg.9A1d9uZlKWr9A2olnzVurk;natural healing for all;0;https://www.youtube.com/watch?v=g43A1DAvo_g&lc=UgzkW8CASYthy6CIvMB4AaABAg.9A1d9uZlKWr9A2olnzVurk;2020-06-18 12:22:41;0;I\'ve also lived in places with contagious diseases without travel insurance even without vaccinations. I was younger and healthier when I did that, I wouldn\'t do that now. These are unique times, this disease unlike any other has closed the world down. Part of the reason why in my opinion it\'s not a good idea to travel, if I get stuck the British Embassy is not going to help me. 1) Because they are rubbish 2) Because the foreign office is advising against all essential travel. I\'m not counting on a vaccine BUT the best scientific minds are working on it worldwide, all governments are backing them, so there is every chance they can succeed. RV or a motorcycle is a very good idea, I\'m willing to wait until next year, but that time more places should open up. If a vaccine isn\'t available, I will go ahead and live my nomad life with caution. I\'ll travel with in the country and other places in Europe. RV or a motorcycle is not a possibility so I\'ll cycle and take public transport sometimes wearing a mask and do a lot of camping.;http://www.youtube.com/channel/UCQubo9j1hc4SiOvFwbkHaRw;0
5;The Single Dad Nomad;I\'ve made a video or two updating where I\'m at now and what I\'m up to. I flew in April and it was okay. But that was to find refuge in the forests of USA haha. People can make up their minds if they want to travel or not. I\'ve lived in places where you could catch dengue, encephalitis, zika, yellow fever, swine flu, typhoid, and more. I recommend vaccinantions, but they don\'t exist for every disease that\'s out there. But also, I wouldn\'t count on a vaccine. Even if one is developed by next year, you still won\'t know if it\'s safe and effective for another 3-5 years. And that\'s IF they even develop one. Personally, I\'m considering building out an RV or modifying a motorcycle so I can travel North and Central America without getting on a plane. If a vaccine isn\'t developed, how long will you wait, do you think, before traveling again? I feel like it\'s based on the rate of spread, number of people infected, and how the medical system in the area is handling it.;UgzkW8CASYthy6CIvMB4AaABAg.9A1d9uZlKWr9A2BTUAqB6J;natural healing for all;1;https://www.youtube.com/watch?v=g43A1DAvo_g&lc=UgzkW8CASYthy6CIvMB4AaABAg.9A1d9uZlKWr9A2BTUAqB6J;2020-06-18 06:30:31;0;I\'ve made a video or two updating where I\'m at now and what I\'m up to. I flew in April and it was okay. But that was to find refuge in the forests of USA haha. People can make up their minds if they want to travel or not. I\'ve lived in places where you could catch dengue, encephalitis, zika, yellow fever, swine flu, typhoid, and more. I recommend vaccinantions, but they don\'t exist for every disease that\'s out there. But also, I wouldn\'t count on a vaccine. Even if one is developed by next year, you still won\'t know if it\'s safe and effective for another 3-5 years. And that\'s IF they even develop one. Personally, I\'m considering building out an RV or modifying a motorcycle so I can travel North and Central America without getting on a plane. If a vaccine isn\'t developed, how long will you wait, do you think, before traveling again? I feel like it\'s based on the rate of spread, number of people infected, and how the medical system in the area is handling it.;http://www.youtube.com/channel/UC_oic9r1g6jWP4Wh3KmRiDA;0
6;Victor Gersten;Travel nomad   single dad = you’re amazing . Keep it up man ! Enjoy every single day of life;Ugxdo8d_8Rr1KRGlo-N4AaABAg;;0;https://www.youtube.com/watch?v=g43A1DAvo_g&lc=Ugxdo8d_8Rr1KRGlo-N4AaABAg;2020-05-29 13:39:27;1;Travel nomad   single dad = you’re amazing . Keep it up man ! Enjoy every single day of life;http://www.youtube.com/channel/UCPxRQJeUQP5csJXfJj2SuCA;0
7;The Single Dad Nomad;Appreciate the kind words!;Ugxdo8d_8Rr1KRGlo-N4AaABAg.99FSebR5P9R99HZlnN7X8U;Victor Gersten;0;https://www.youtube.com/watch?v=g43A1DAvo_g&lc=Ugxdo8d_8Rr1KRGlo-N4AaABAg.99FSebR5P9R99HZlnN7X8U;2020-05-30 09:20:05;0;Appreciate the kind words!;http://www.youtube.com/channel/UC_oic9r1g6jWP4Wh3KmRiDA;0
8;Living Unconventionally;"i think we\'ll be stuck ""distancing"" for the next year unfortunately";Ugy3kFJqPZKVy7NhDfp4AaABAg;;2;https://www.youtube.com/watch?v=g43A1DAvo_g&lc=Ugy3kFJqPZKVy7NhDfp4AaABAg;2020-03-22 22:11:51;4;"i think we\'ll be stuck ""distancing"" for the next year unfortunately";http://www.youtube.com/channel/UCJqgNBMdJm5iwdjTlo-DPoA;0
9;Living Unconventionally;The Single Dad Nomad absolutely! And as they say, it’s not about waiting for the storm to pass but learning to dance in the rain ☔️;Ugy3kFJqPZKVy7NhDfp4AaABAg.96XHExXlEj796YaKsyY5hp;Living Unconventionally;0;https://www.youtube.com/watch?v=g43A1DAvo_g&lc=Ugy3kFJqPZKVy7NhDfp4AaABAg.96XHExXlEj796YaKsyY5hp;2020-03-23 10:26:39;0;The Single Dad Nomad absolutely! And as they say, it’s not about waiting for the storm to pass but learning to dance in the rain ☔️;http://www.youtube.com/channel/UCJqgNBMdJm5iwdjTlo-DPoA;0
10;The Single Dad Nomad;@Living Unconventionally Thank you, you as well! Whether a month or a year, life goes on 🙏🙏;Ugy3kFJqPZKVy7NhDfp4AaABAg.96XHExXlEj796YSFHgtnWz;Living Unconventionally;1;https://www.youtube.com/watch?v=g43A1DAvo_g&lc=Ugy3kFJqPZKVy7NhDfp4AaABAg.96XHExXlEj796YSFHgtnWz;2020-03-23 09:07:15;0;@Living Unconventionally Thank you, you as well! Whether a month or a year, life goes on 🙏🙏;http://www.youtube.com/channel/UC_oic9r1g6jWP4Wh3KmRiDA;0
